ori,state_fips,block_group_geoid,bg_responsibility_population_coverage_share,responsibility_fraction_basis
KYKSP0200,21,210472011003,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472012001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472012002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472013011,0.734189723320158,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472013012,0.77827380952381,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472013013,0.416326530612245,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472013032,0.113625421280693,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472014001,0.670755326016785,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472014002,0.991189427312775,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015011,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015012,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015013,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015014,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015015,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015016,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015021,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015022,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015031,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015032,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472015033,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559301001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559301002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559302001,0.333333333333333,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559302002,0.0249266862170088,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559302003,0.246438746438746,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559302004,0.431593794076164,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559302005,0.368977673325499,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559303001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559304001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210559304002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079701001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079701002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079702001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079702002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079703021,0.0392156862745098,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079703022,0.313868613138686,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079703023,0.148812970469021,census_2020_nonmunicipal_block_population
