ori9,ori7,state_fips,state_abbr,agency_name_raw,agency_name_std,agency_type_raw,agency_type_norm,source_presence_srs,source_presence_nibrs,srs_years,nibrs_years,srs_year_count,nibrs_year_count,latest_srs_year,latest_nibrs_year,latest_srs_part1_total,latest_srs_months_reported,latest_srs_months_missing,population_latest_nibrs,name_alias_group,manual_review_flag
CA040015M,CA04001,06,CA,Atascadero State Hospital,ATASCADERO STATE HOSPITAL,Other State Agency,state_law_enforcement,False,True,,2024,,1,,2024,,,,,ATASCADERO STATE HOSPITAL,False
CA0479945,CA04799,06,CA,Highway Patrol: Yreka Area Office,HIGHWAY PATROL YREKA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL YREKA AREA OFFICE,False
CA028100X,CA02810,06,CA,Yountville Police Department,YOUNTVILLE POLICE DEPARTMENT,City,local_police,False,True,,2024,,1,,2024,,,,,YOUNTVILLE POLICE DEPARTMENT,False
CA0389935,CA03899,06,CA,Highway Patrol: San Francisco Area Office,HIGHWAY PATROL SAN FRANCISCO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN FRANCISCO AREA OFFICE,False
CA0229955,CA02299,06,CA,Highway Patrol: Mariposa Area Office,HIGHWAY PATROL MARIPOSA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MARIPOSA AREA OFFICE,False
CA0369955,CA03699,06,CA,Highway Patrol: Rancho Cucamonga Area Office,HIGHWAY PATROL RANCHO CUCAMONGA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL RANCHO CUCAMONGA AREA OFFICE,False
CA0099946,CA00999,06,CA,Highway Patrol: South Lake Tahoe Area Office,HIGHWAY PATROL SOUTH LAKE TAHOE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SOUTH LAKE TAHOE AREA OFFICE,False
CA0479946,CA04799,06,CA,Highway Patrol: Mount Shasta Area Office,HIGHWAY PATROL MOUNT SHASTA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MOUNT SHASTA AREA OFFICE,False
CA0339985,CA03399,06,CA,Highway Patrol: Temecula Area Office,HIGHWAY PATROL TEMECULA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL TEMECULA AREA OFFICE,False
CA0159960,CA01599,06,CA,Highway Patrol: Fort Tejon Area Office,HIGHWAY PATROL FORT TEJON AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL FORT TEJON AREA OFFICE,False
CA0369934,CA03699,06,CA,Highway Patrol: Needles Area Office,HIGHWAY PATROL NEEDLES AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL NEEDLES AREA OFFICE,False
CA0369960,CA03699,06,CA,Highway Patrol: San Bernardino Area Office,HIGHWAY PATROL SAN BERNARDINO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN BERNARDINO AREA OFFICE,False
CA0189940,CA01899,06,CA,Highway Patrol: Susanville Area Office,HIGHWAY PATROL SUSANVILLE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SUSANVILLE AREA OFFICE,False
CA0409945,CA04099,06,CA,Highway Patrol: San Luis Obispo Area Office,HIGHWAY PATROL SAN LUIS OBISPO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN LUIS OBISPO AREA OFFICE,False
CA0559925,CA05599,06,CA,Highway Patrol: Sonora Area Office,HIGHWAY PATROL SONORA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SONORA AREA OFFICE,False
CA0109995,CA01099,06,CA,Highway Patrol: Coalinga Area Office,HIGHWAY PATROL COALINGA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL COALINGA AREA OFFICE,False
CA0279935,CA02799,06,CA,Highway Patrol: King City Area Office,HIGHWAY PATROL KING CITY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL KING CITY AREA OFFICE,False
CA0399966,CA03999,06,CA,Highway Patrol: Tracy Area Office,HIGHWAY PATROL TRACY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL TRACY AREA OFFICE,False
CA0339930,CA03399,06,CA,Highway Patrol: Indio Area Office,HIGHWAY PATROL INDIO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL INDIO AREA OFFICE,False
CA0379945,CA03799,06,CA,Highway Patrol: San Diego Area Office,HIGHWAY PATROL SAN DIEGO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN DIEGO AREA OFFICE,False
CA0069955,CA00699,06,CA,Highway Patrol: Williams Area Office,HIGHWAY PATROL WILLIAMS AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WILLIAMS AREA OFFICE,False
CA0139920,CA01399,06,CA,Highway Patrol: Winterhaven Area Office,HIGHWAY PATROL WINTERHAVEN AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WINTERHAVEN AREA OFFICE,False
CA0309975,CA03099,06,CA,Highway Patrol: Santa Ana Area Office,HIGHWAY PATROL SANTA ANA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SANTA ANA AREA OFFICE,False
CA0379980,CA03799,06,CA,Highway Patrol: El Cajon Area Office,HIGHWAY PATROL EL CAJON AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL EL CAJON AREA OFFICE,False
CA0269920,CA02699,06,CA,Highway Patrol: Bridgeport Area Office,HIGHWAY PATROL BRIDGEPORT AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL BRIDGEPORT AREA OFFICE,False
CA0339955,CA03399,06,CA,Highway Patrol: San Gorgonio Pass Area Office,HIGHWAY PATROL SAN GORGONIO PASS AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN GORGONIO PASS AREA OFFICE,False
CA0569965,CA05699,06,CA,Highway Patrol: Ventura Area Office,HIGHWAY PATROL VENTURA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL VENTURA AREA OFFICE,False
CA0149925,CA01499,06,CA,Highway Patrol: Bishop Area Office,HIGHWAY PATROL BISHOP AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL BISHOP AREA OFFICE,False
CA0169940,CA01699,06,CA,Highway Patrol: Hanford Area Office,HIGHWAY PATROL HANFORD AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL HANFORD AREA OFFICE,False
CA0329965,CA03299,06,CA,Highway Patrol: Quincy Area Office,HIGHWAY PATROL QUINCY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL QUINCY AREA OFFICE,False
CA0339940,CA03399,06,CA,Highway Patrol: Riverside Area Office,HIGHWAY PATROL RIVERSIDE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL RIVERSIDE AREA OFFICE,False
TX227289E,TX22728,48,TX,Austin Community College District,AUSTIN COMMUNITY COLLEGE DISTRICT,University or College,special_jurisdiction,False,True,,"2018,2019,2020,2021,2022,2023,2024",,7,,2024,,,,0.0,AUSTIN COMMUNITY COLLEGE DISTRICT,False
TX220029E,TX22002,48,TX,Southwestern Baptist Theological Seminary,SOUTHWESTERN BAPTIST THEOLOGICAL SEMINARY,University or College,special_jurisdiction,False,True,,"2019,2020,2021,2022,2023,2024",,6,,2024,,,,0.0,SOUTHWESTERN BAPTIST THEOLOGICAL SEMINARY,False
TX014019E,TX01401,48,TX,University of Mary Hardin-Baylor,UNIVERSITY OF MARY HARDIN-BAYLOR,University or College,special_jurisdiction,False,True,,"2019,2020,2021,2022,2023,2024",,6,,2024,,,,0.0,UNIVERSITY OF MARY HARDIN-BAYLOR,False
TX057829E,TX05782,48,TX,Dallas Baptist University,DALLAS BAPTIST UNIVERSITY,University or College,special_jurisdiction,False,True,,"2023,2024",,2,,2024,,,,0.0,DALLAS BAPTIST UNIVERSITY,False
