state_abbr,year,source_sheet,source_row_number,county,agency_name,agency_name_normalized,population_estimate,quarters_reported,months_reported,offense_level,offense_bucket,offense_name,offense_name_source,offense_slug,period,quarter,month,month_name,incident_count,annual_rate
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M10,4,10,Oct,23,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M11,4,11,Nov,24,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M12,4,12,Dec,13,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,YTD,,,,276,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M01,1,1,Jan,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M02,1,2,Feb,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M03,1,3,Mar,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M04,2,4,Apr,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M05,2,5,May,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M06,2,6,Jun,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M07,3,7,Jul,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M08,3,8,Aug,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M09,3,9,Sep,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M10,4,10,Oct,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M11,4,11,Nov,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,M12,4,12,Dec,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Pocket Picking,Larceny - Pocket Picking,larceny_pocket_picking,YTD,,,,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M01,1,1,Jan,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M02,1,2,Feb,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M03,1,3,Mar,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M04,2,4,Apr,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M05,2,5,May,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M06,2,6,Jun,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M07,3,7,Jul,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M08,3,8,Aug,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M09,3,9,Sep,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M10,4,10,Oct,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M11,4,11,Nov,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,M12,4,12,Dec,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Purse Snatching,Larceny - Purse Snatching,larceny_purse_snatching,YTD,,,,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M01,1,1,Jan,13,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M02,1,2,Feb,18,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M03,1,3,Mar,12,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M04,2,4,Apr,9,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M05,2,5,May,19,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M06,2,6,Jun,18,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M07,3,7,Jul,16,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M08,3,8,Aug,16,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M09,3,9,Sep,14,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M10,4,10,Oct,13,
