block_group_geoid,state_fips,population_2024,households_total,exposure_proxy_2024,vehicle_exposure_2024,burglary_premises_total,land_area_sq_mi,expected_count_total,crime_density_total,non_residential_flag,special_use_tract_flag,suppression_reasons,suppression_modes,n_offenses_published,n_neighbours,n_neighbours_coloured,neighbour_median_index,neighbour_max_index
230079701022,23,13,4,80.0,75.25831371394938,27.551827621328638,498.9798354711366,0.3416730544330471,0.0006847432103352222,True,False,,non_residential,0,8.0,8.0,45.42198997014164,93.50492911594652
230079706022,23,0,0,5.0,0.0,0.0,103.91204382787689,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,6.0,6.0,39.19726254763365,209.2001873616029
230099900000,23,0,0,0.0,0.0,0.0,0.0,0.03478051432173375,,True,False,zero_or_structural_denominator,non_residential,0,10.0,8.0,21.20104744665816,31.050255721255517
230139900000,23,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,28.0,25.0,32.02198856544936,147.55820722783577
230159756003,23,0,0,16.0,0.0,0.0,1.5625365168182181,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,4.0,2.0,32.83526463531485,37.07070845358332
230159900000,23,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,10.0,6.0,34.23939057378636,44.258553109646016
230239702004,23,0,0,5.0,0.0,0.0,2.301306703682126,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,4.0,4.0,14.989764607204672,28.302697519296913
230239900000,23,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,9.0,7.0,29.134877769176263,36.60307630521209
230299900000,23,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,10.0,9.0,29.790704608305006,46.03105794981947
230319901000,23,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,22.0,20.0,29.291550172627446,168.5456488341691
240037404001,24,4544,0,6294.0,797.7969870602967,0.0,0.7067739009813447,11.359185166548873,16.071879777644334,True,False,zero_or_structural_denominator,non_residential,0,2.0,2.0,58.19935431103646,80.17677598131402
240037406031,24,0,0,89.0,53.03274769475961,0.3910629940267669,13.665323351619557,1.8277176580195502,0.13374858471994638,True,False,zero_or_structural_denominator,non_residential,0,9.0,9.0,66.01373788537414,299.49990336559125
240039800001,24,2,0,8905.0,6903.480286874359,2366.4856305934404,4.768696795291466,52.41747965744054,10.991992552178345,True,True,,non_residential,0,8.0,8.0,111.5900105692254,138.9536470520822
240039900000,24,0,0,6.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,40.0,34.0,67.41482545497446,280.4026202295687
240054011021,24,0,0,13045.0,7603.800610907158,1481.7111525802209,0.8799812598367489,74.11909355910183,84.22803637074288,True,False,,non_residential,0,5.0,5.0,163.66374595331018,264.9263369202636
240054042025,24,1475,0,2781.0,593.2262158854833,661.1029845923343,1.2096708042416457,15.527747993386328,12.836341869985713,True,False,,non_residential,0,5.0,5.0,91.38303948651617,234.30896678713643
240054906052,24,1969,0,9456.0,2579.143665158371,311.3560141262777,0.18697692013728975,36.96508041795114,197.69862713969803,True,False,,non_residential,0,5.0,5.0,100.65907792061472,169.12837711675076
240054925001,24,3427,8,14453.0,3338.275965925799,371.82438625541573,0.7080001614370346,37.43562442922882,52.87516369098755,True,False,,non_residential,0,10.0,9.0,101.51297286745147,540.461285296928
240054925002,24,54,4,3175.0,544.0663982090175,4.0,0.31091802965844506,6.701004106856738,21.55231754883446,True,False,,non_residential,0,4.0,3.0,62.06821837597759,210.22879750169201
240054926001,24,38,0,648.0,6.179439748807118,0.0,0.6895224704332716,4.614675650757258,6.692567463185875,True,False,zero_or_structural_denominator,non_residential,0,6.0,6.0,61.61734313154023,88.36089805335995
240054927001,24,0,0,9021.0,7082.410382101558,609.4944120617884,4.779979086467699,72.74722825897426,15.219151996904005,True,False,,non_residential,0,12.0,11.0,149.0344905307191,441.73070084877105
240059801001,24,0,0,18.0,0.0,0.0,0.5920996293685689,0.0,0.0,True,True,zero_or_structural_denominator,non_residential,0,6.0,6.0,283.33851701582194,563.8140435627607
240059802001,24,0,0,3109.0,2309.5656061166605,233.96853857465652,0.8110110590430472,30.547759714173587,37.66626776978655,True,True,,non_residential,0,5.0,5.0,189.3863487926244,295.59906805901187
240099901000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,15.0,11.0,28.939652638155838,43.673431036124086
240178513023,24,81,0,299.0,0.0,0.0,0.14396127864849542,0.5681061808997611,3.946242949723193,True,False,zero_or_structural_denominator,non_residential,0,1.0,1.0,43.059826629065164,43.059826629065164
240179900000,24,0,0,40.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,42.0,39.0,53.549310662895564,156.10959973570874
240199900000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,7.0,3.0,48.20363998756517,60.24978246120364
240217519052,24,0,0,13.0,0.0,0.0,0.39348829288641024,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,5.0,5.0,11.200407703130995,15.30500621984593
240299900000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,12.0,10.0,13.580075403811357,50.40595588281463
240317003133,24,0,0,2455.0,1189.5883362542186,1522.2626188530514,0.19614954911897262,53.71399486730628,273.84205117252947,True,False,,non_residential,0,7.0,6.0,92.78141307213701,166.5187596578734
240317003134,24,0,0,2302.0,1193.2114479382415,575.8328521068067,0.3273015025540021,36.513809876614204,111.56016575447808,True,False,,non_residential,0,9.0,6.0,145.3371252286533,166.5187596578734
240317007183,24,0,0,4613.0,2737.864729226714,1077.9402193180672,0.37905965521980717,78.35571222232909,206.71076740386044,True,False,,non_residential,0,8.0,7.0,88.30152839912508,277.2647013917314
240317007242,24,0,0,257.0,81.5200128905175,23.10320155415091,0.08944905928544977,1.6245144599833374,18.161336440657113,True,False,,non_residential,0,5.0,4.0,203.99467871757747,222.05840217011914
240317007332,24,0,0,4398.0,2434.1271997161193,818.8946534905315,0.44273021778466776,53.829901078699955,121.58623675622113,True,False,,non_residential,0,7.0,7.0,83.14176917074056,177.77963894287797
240317008184,24,0,0,563.0,6.038519473371667,0.0,0.1721617942099356,1.2326017401256042,7.159554451567569,True,False,zero_or_structural_denominator,non_residential,0,4.0,2.0,185.2583479849401,234.04938788324952
240317008292,24,0,0,3252.0,42.873488260938835,46.58296883459029,0.9451576208201203,3.3818373168770846,3.5780670254159714,True,False,,non_residential,0,9.0,8.0,67.83349498750363,222.05840217011914
240317008302,24,0,0,3055.0,1126.7877337311531,164.24245682648973,0.5079405557579953,14.963086833451301,29.458342445450167,True,False,,non_residential,0,8.0,6.0,157.83643129203085,234.04938788324952
