block_group_geoid,state_fips,class_strict_three_fates,class_loose_grey_plus_4band_span,class_no_grey_5band_chasm,n_nb,n_grey_nb,band,idx,cnt,pop,expo,land,nb_band_min,nb_band_max,nb_idx_min,nb_idx_max,nb_cnt_max,nb_pop_max,nb_land_max,neighbourhood_band_span,neighbourhood_max_count
170679541002,17,False,False,True,5,0,1.0,16.32872496748427,1.563568377873742,421,600.0,0.7683390484754001,0.0,6.0,7.780949280143241,163.7312366091952,18.727490179019536,1153,6.307551736212411,6.0,18.727490179019536
170679541003,17,False,False,True,7,0,1.0,22.031231314048792,2.3947075427200555,672,672.0,6.307551736212411,0.0,6.0,4.956608960083777,163.7312366091952,18.727490179019536,947,102.08646672127001,6.0,18.727490179019536
170679542002,17,False,False,True,7,0,0.0,4.956608960083777,0.6131486424081771,848,848.0,31.80777188973273,0.0,6.0,7.4655837613333995,163.7312366091952,18.727490179019536,1240,102.08646672127001,6.0,18.727490179019536
170699710001,17,False,True,False,8,2,2.0,25.021793792772954,1.9605532158885255,509,509.0,34.326085381141,1.0,5.0,14.50958276123563,115.95097012011851,11.15326384452234,1608,91.82358601638524,4.0,11.15326384452234
170770101003,17,False,False,True,6,0,3.0,59.55824522822985,8.039723675119694,805,805.0,43.52439363128968,0.0,5.0,9.765329867255062,105.1787926338137,20.686120267152877,2056,133.40647266523553,5.0,20.686120267152877
170770102001,17,False,False,True,5,0,3.0,62.83527671891825,6.094174539495527,587,587.0,11.179332016315705,0.0,5.0,5.461311089842292,105.1787926338137,19.706208023964297,1744,133.40647266523553,5.0,19.706208023964297
170770102002,17,False,False,True,8,0,5.0,105.1787926338137,19.706208023964297,1021,1021.0,26.988091848807755,0.0,3.0,5.461311089842292,62.83527671891825,20.686120267152877,2056,43.52439363128968,5.0,20.686120267152877
170830101001,17,False,False,True,5,0,6.0,173.32217507924358,14.349382895712226,557,579.0,52.28939332852768,0.0,3.0,6.9524089923722885,53.7008718028417,18.23526151416914,2226,62.66234867000992,6.0,18.23526151416914
170830102001,17,False,False,True,10,0,1.0,20.325389156653497,3.9432688191220064,1241,1241.0,36.80655699998561,0.0,6.0,6.9524089923722885,173.32217507924358,18.23526151416914,2226,52.28939332852768,6.0,18.23526151416914
170910112001,17,False,False,True,4,0,1.0,16.64429068159582,2.141496461399092,878,878.0,2.194857952456006,1.0,6.0,22.20778301463742,143.46174997300784,11.077869393872358,1044,23.689811456315915,5.0,11.077869393872358
170910112002,17,False,False,True,10,0,1.0,23.488656564733464,3.921253568829778,1044,1044.0,23.689811456315915,1.0,6.0,16.64429068159582,143.46174997300784,21.118224973001496,1145,37.351953712250825,5.0,21.118224973001496
170910113001,17,False,False,True,5,0,2.0,30.664962788195318,4.086019632080315,801,801.0,0.5646234414566482,1.0,6.0,22.20778301463742,143.46174997300784,11.8694919301245,1105,23.689811456315915,5.0,11.8694919301245
170910113003,17,False,False,True,4,0,6.0,143.46174997300784,11.077869393872358,449,449.0,1.1867093088701477,1.0,2.0,16.64429068159582,30.664962788195318,4.086019632080315,1044,23.689811456315915,5.0,11.077869393872358
170978601041,17,False,False,True,10,0,2.0,37.23993133579159,9.971349638937587,1751,1751.0,1.6497079594701307,0.0,5.0,11.945848346475692,120.12820598251594,17.85418882000249,1854,2.8803711380744526,5.0,17.85418882000249
170978602001,17,False,True,False,9,1,5.0,110.91055238120632,33.69652276150724,1290,1942.0,0.7776151528355858,2.0,6.0,46.19854230681741,174.8793789064403,35.963314975911665,2118,2.8803711380744526,4.0,35.963314975911665
170978606001,17,False,True,False,6,1,2.0,46.19854230681741,16.095957816922535,2118,2118.0,1.896672027579308,2.0,6.0,38.983107682548535,174.8793789064403,35.963314975911665,2326,3.428987170138013,4.0,35.963314975911665
170978622003,17,False,True,False,9,1,2.0,44.56282221324689,42.789295061508774,1129,9084.0,1.5031292942885364,2.0,6.0,38.983107682548535,163.6574458665224,43.03033852177387,2314,3.428987170138013,4.0,43.03033852177387
170978623002,17,False,True,False,10,1,3.0,70.29781251731082,15.722745565857076,1365,1700.0,0.37767123185750845,0.0,7.0,7.74635056811677,239.5792446847579,42.789295061508774,6607,1.5031292942885364,7.0,42.789295061508774
170978630031,17,False,True,False,7,2,0.0,7.74635056811677,11.187329102497223,6607,18325.0,0.9142126911154045,2.0,4.0,26.04551378300242,82.5433904931417,23.138285857170025,3931,1.5418487770586715,4.0,23.138285857170025
170978630041,17,False,True,False,9,2,1.0,21.38688542951001,15.183307054269553,1737,5109.0,0.8693862305028112,1.0,5.0,19.49132404516352,115.8266467483497,41.1992872179172,3931,1.878646462203257,4.0,41.1992872179172
170978630051,17,False,True,False,7,1,,,5.994466414260097,3931,3931.0,0.394977102809943,0.0,4.0,7.74635056811677,92.74587734533169,23.138285857170025,6607,1.5418487770586715,4.0,23.138285857170025
170978631001,17,False,False,True,5,0,3.0,62.2558347252038,5.742519290458832,613,613.0,0.22672536516007405,0.0,5.0,7.74635056811677,108.18621400260587,23.138285857170025,6607,0.9142126911154045,5.0,23.138285857170025
170978631002,17,False,True,False,8,1,4.0,82.5433904931417,23.138285857170025,1602,1684.0,0.4493951132462921,0.0,5.0,7.74635056811677,108.18621400260587,22.269845273452148,6607,1.237087532421143,5.0,23.138285857170025
170979900000,17,False,True,False,20,5,,,0.0,0,0.0,0.0,0.0,5.0,7.74635056811677,110.91055238120632,42.789295061508774,6607,3.428987170138013,5.0,42.789295061508774
170999622003,17,False,False,True,9,0,2.0,48.93582864512645,6.957225013758551,768,865.0,23.06575222076985,0.0,6.0,12.443859469951786,135.10422869848463,24.256884905769944,2305,70.24458193362132,6.0,24.256884905769944
170999628003,17,False,False,True,5,0,3.0,67.15811652706711,8.046555767776633,628,834.0,0.19748005715748249,1.0,6.0,21.647385294852878,135.10422869848463,13.510892905030497,1162,23.06575222076985,5.0,13.510892905030497
170999642003,17,False,False,True,5,0,5.0,106.47937228977557,19.59426706203463,1135,1135.0,0.5614218823575989,1.0,6.0,12.687795037900877,145.14432709593035,14.79745208681897,1591,122.11761234687677,5.0,19.59426706203463
171059605001,17,False,False,True,9,0,3.0,53.14311682318688,11.190335483401993,899,1478.0,19.722567375029378,0.0,5.0,12.450667749791114,102.9292091480656,17.050728842407405,1591,122.11761234687677,5.0,17.050728842407405
171118707044,17,False,False,True,5,0,1.0,17.61409610989263,1.9814673973276409,721,721.0,0.2870804684891005,0.0,5.0,11.152543773408707,104.320622314745,12.067117316282129,1896,1.874171152083011,5.0,12.067117316282129
171130051022,17,False,False,True,8,0,2.0,28.799645894739616,3.2142565557392504,654,654.0,26.456183615452968,0.0,5.0,10.742713128962341,101.89042849648429,23.211843126127384,2461,54.31272694143758,5.0,23.211843126127384
171179565002,17,False,False,True,5,0,1.0,12.879400269207606,2.141850292003855,846,846.0,37.457385470391216,0.0,6.0,6.9524089923722885,173.32217507924358,14.349382895712226,1069,76.09596091929549,6.0,14.349382895712226
171179566001,17,False,False,True,6,0,0.0,6.9524089923722885,1.6084746871159947,1069,1446.0,29.853433960358995,0.0,6.0,7.622808523422519,173.32217507924358,14.349382895712226,1241,52.28939332852768,6.0,14.349382895712226
171219517002,17,False,False,True,8,0,2.0,29.140552631869436,3.9252827782870905,796,796.0,63.77205492267685,0.0,5.0,6.719845469482035,104.15789872927017,20.18360577974242,1204,80.48939614630123,5.0,20.18360577974242
171219527002,17,False,False,True,6,0,5.0,102.82938999423092,12.654203457692418,524,738.0,0.8742221600391826,1.0,7.0,16.89279923184719,203.4190256341879,19.715776035937445,2000,80.48939614630123,6.0,19.715776035937445
171259564001,17,False,False,True,7,0,1.0,12.672893139736566,1.2319243823708295,579,579.0,43.44207742328207,0.0,6.0,7.574326367983074,144.450479059632,19.492756930755938,1843,70.14630387627533,6.0,19.492756930755938
171310402005,17,False,False,True,8,0,2.0,47.543644329259614,5.329767606274017,600,600.0,53.33924834118254,0.0,5.0,6.208006707403866,106.00083819859094,10.552713216475265,735,81.89441109055903,5.0,10.552713216475265
171359573002,17,False,False,True,5,0,3.0,61.537835052129346,15.31842121088868,1479,1479.0,26.343801246253598,1.0,6.0,16.358384439589454,181.59183414988524,20.98653062285512,942,79.86823036033165,5.0,20.98653062285512
171359573003,17,False,False,True,8,0,2.0,47.033738115915824,7.6280804551515375,914,1073.0,62.09814337719103,1.0,6.0,14.889224492602104,181.59183414988524,20.98653062285512,3209,79.86823036033165,5.0,20.98653062285512
171379515003,17,False,False,True,12,0,0.0,8.995057706712903,1.5250512992708525,896,1126.0,27.436039078959325,0.0,6.0,7.310856420309798,135.2774585715216,13.736982772009034,1333,80.3997744993509,6.0,13.736982772009034
171379516001,17,False,False,True,6,0,6.0,135.2774585715216,12.588140020228124,606,606.0,0.8498359477024781,0.0,5.0,8.995057706712903,105.28040071180449,16.821116656704927,1071,66.86697955536175,6.0,16.821116656704927
171379517001,17,False,False,True,6,0,3.0,54.631628766435654,11.07888101082434,1071,1457.0,0.7917959129163724,0.0,6.0,8.995057706712903,135.2774585715216,16.821116656704927,1124,66.86697955536175,6.0,16.821116656704927
171399769001,17,False,False,True,11,0,1.0,15.405504098504615,3.5045208772280922,1585,1585.0,74.69261355026066,0.0,5.0,1.6666935343116456,101.5496264630656,16.570715305128807,2260,46.91673816216863,5.0,16.570715305128807
171399771003,17,False,False,True,12,0,1.0,15.265183226167974,2.0494733529462925,1121,1121.0,37.946481924196945,0.0,5.0,1.6666935343116456,101.5496264630656,16.570715305128807,2364,74.69261355026066,5.0,16.570715305128807
171430037001,17,False,False,True,10,0,2.0,39.32856260914033,8.637978728394298,1332,1332.0,35.65596175651942,0.0,5.0,1.035401604923273,117.50447048678778,22.136599743907688,2167,131.28550539948233,5.0,22.136599743907688
171430049011,17,False,False,True,7,0,2.0,46.34424435271531,8.234434392710387,1308,1308.0,21.20806956136953,1.0,6.0,20.61823911487218,144.450479059632,19.492756930755938,2041,67.14889513527535,5.0,19.492756930755938
171430049013,17,False,False,True,5,0,3.0,53.98536099660063,7.47593113295647,749,749.0,12.357910013725894,1.0,6.0,20.61823911487218,144.450479059632,19.492756930755938,1843,70.14630387627533,5.0,19.492756930755938
171450305002,17,False,False,True,9,0,0.0,5.461311089842292,1.8925553411012872,1744,2164.0,20.707581935578848,0.0,5.0,8.136775247360987,105.1787926338137,19.706208023964297,1144,35.6289508217086,5.0,19.706208023964297
171579505003,17,False,False,True,11,0,0.0,2.563731230474089,0.26563028513182974,624,624.0,41.15515032229241,0.0,5.0,1.3320166364791413,110.43148977141972,16.533836537336725,1093,133.40647266523553,5.0,16.533836537336725
