priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
96,source_policy_disagreement,GA,13.0,GA0090100,Fitzgerald Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,335.0,aligned,mixed_source_2024,aligned,0.0
97,source_policy_disagreement,GA,13.0,GA0230100,Fort Oglethorpe Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,334.0,aligned,mixed_source_2024,aligned,0.0
98,source_policy_disagreement,GA,13.0,GA1150300,Polk County Police Department,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,330.0,aligned,mixed_source_2024,aligned,0.0
99,source_policy_disagreement,GA,13.0,GA0420000,Dawson County Sheriff's Office,County,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,318.0,aligned,mixed_source_2024,aligned,0.0
100,source_policy_disagreement,GA,13.0,GA1470100,Monroe Police Department,City,True,True,2019-02-01,True,True,srs_return_a_annual,full_monthly,317.0,aligned,mixed_source_2024,aligned,0.0
101,source_policy_disagreement,GA,13.0,GA0450100,Eastman Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,314.0,aligned,mixed_source_2024,aligned,0.0
102,source_policy_disagreement,GA,13.0,GA0640000,Gordon County Sheriff's Office,County,True,True,2018-12-01,True,True,srs_return_a_annual,full_monthly,288.0,aligned,mixed_source_2024,aligned,0.0
103,source_policy_disagreement,GA,13.0,GA0200200,St. Marys Police Department,City,True,True,2022-05-01,True,True,srs_return_a_annual,full_monthly,284.0,aligned,mixed_source_2024,aligned,0.0
104,source_policy_disagreement,GA,13.0,GA1100200,Hiram Police Department,City,True,True,2019-03-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,284.0,aligned,mixed_source_2024,aligned,0.0
105,source_policy_disagreement,GA,13.0,GA0230000,Catoosa County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,279.0,aligned,mixed_source_2024,aligned,0.0
106,source_policy_disagreement,GA,13.0,GA1270100,Toccoa Police Department,City,True,True,2019-05-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,279.0,aligned,mixed_source_2024,aligned,0.0
107,source_policy_disagreement,GA,13.0,GA0070100,Winder Police Department,City,True,True,2019-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,276.0,aligned,mixed_source_2024,aligned,0.0
108,source_policy_disagreement,GA,13.0,GA0330500,Acworth Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,275.0,aligned,mixed_source_2024,aligned,0.0
109,source_policy_disagreement,GA,13.0,GA0650100,Cairo Police Department,City,True,True,2019-04-01,True,True,srs_return_a_annual,full_monthly,271.0,aligned,mixed_source_2024,aligned,0.0
110,source_policy_disagreement,GA,13.0,GA1450100,Thomaston Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly,271.0,aligned,mixed_source_2024,aligned,0.0
111,source_policy_disagreement,GA,13.0,GA0970000,Madison County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,269.0,aligned,mixed_source_2024,aligned,0.0
112,source_policy_disagreement,GA,13.0,GA0200100,Kingsland Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,264.0,aligned,mixed_source_2024,aligned,0.0
113,source_policy_disagreement,GA,13.0,GA0880000,Lee County Sheriff's Office,County,True,True,2019-04-01,True,True,srs_return_a_annual,full_monthly,259.0,aligned,mixed_source_2024,aligned,0.0
114,source_policy_disagreement,GA,13.0,GA0160000,Bulloch County Sheriff's Office,County,True,True,2018-12-01,True,True,srs_return_a_annual,full_monthly,251.0,aligned,mixed_source_2024,aligned,0.0
115,source_policy_disagreement,GA,13.0,GA0270000,Chattooga County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,251.0,aligned,mixed_source_2024,aligned,0.0
116,source_policy_disagreement,GA,13.0,GA1150100,Cedartown Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,244.0,aligned,mixed_source_2024,aligned,0.0
117,source_policy_disagreement,GA,13.0,GA0560000,Fayette County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,238.0,aligned,mixed_source_2024,aligned,0.0
118,source_policy_disagreement,GA,13.0,GA0600300,Hapeville Police Department,City,True,True,2019-11-01,True,True,srs_return_a_annual,lumpy_or_batched,238.0,aligned,mixed_source_2024,aligned,0.0
119,source_policy_disagreement,GA,13.0,GA0610000,Gilmer County Sheriff's Office,County,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,236.0,aligned,mixed_source_2024,aligned,0.0
120,source_policy_disagreement,GA,13.0,GA0150200,Richmond Hill Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,235.0,aligned,mixed_source_2024,aligned,0.0
121,source_policy_disagreement,GA,13.0,GA0220200,Villa Rica Police Department,City,True,True,2019-04-01,True,True,srs_return_a_annual,structurally_missing_or_unreliable|true_partial,232.0,aligned,mixed_source_2024,aligned,0.0
122,source_policy_disagreement,GA,13.0,GA0250500,Port Wentworth Police Department,City,True,True,2019-05-01,True,True,srs_return_a_annual,full_monthly,232.0,aligned,mixed_source_2024,aligned,0.0
123,source_policy_disagreement,GA,13.0,GA0150000,Bryan County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,229.0,aligned,mixed_source_2024,aligned,0.0
124,source_policy_disagreement,GA,13.0,GA0605700,Milton Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,226.0,aligned,mixed_source_2024,aligned,0.0
125,source_policy_disagreement,GA,13.0,GA0170000,Burke  County Sheriff's Office,County,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,218.0,aligned,mixed_source_2024,aligned,0.0
126,source_policy_disagreement,GA,13.0,GA0602100,Metropolitan Atlanta Rapid Transit Authority,Other,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,218.0,aligned,mixed_source_2024,aligned,0.0
127,source_policy_disagreement,GA,13.0,GA1470000,Walton County Sheriff's Office,County,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,208.0,aligned,mixed_source_2024,aligned,0.0
128,source_policy_disagreement,GA,13.0,GA0290200,University of Georgia,University or College,True,True,2019-08-01,True,True,srs_return_a_annual,structurally_missing_or_unreliable|true_partial,206.0,aligned,mixed_source_2024,aligned,0.0
