ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
AZ0020000,AZ,COCHISE,sheriff,50515.0,burglary,srs_return_a_annual,48.0,8.0,8.0,8.0,48.0,48.0,true_partial,False,True,True
AZ0020000,AZ,COCHISE,sheriff,50515.0,larceny,srs_return_a_annual,133.0,8.0,8.0,8.0,133.0,133.0,true_partial,False,True,True
AZ0020000,AZ,COCHISE,sheriff,50515.0,motor_vehicle_theft,srs_return_a_annual,32.0,8.0,8.0,8.0,32.0,32.0,true_partial,False,True,True
AZ0020000,AZ,COCHISE,sheriff,50515.0,murder,nibrs_srs_equivalent_annual,0.0,8.0,8.0,8.0,0.0,0.0,true_partial,True,False,True
AZ0020000,AZ,COCHISE,sheriff,50515.0,rape,nibrs_srs_equivalent_annual,0.0,8.0,8.0,8.0,0.0,0.0,true_partial,True,False,True
AZ0020000,AZ,COCHISE,sheriff,50515.0,robbery,srs_return_a_annual,2.0,8.0,8.0,8.0,2.0,2.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,aggravated_assault,srs_return_a_annual,49.0,7.0,7.0,7.0,49.0,49.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,burglary,srs_return_a_annual,41.0,7.0,7.0,7.0,41.0,41.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,larceny,srs_return_a_annual,93.0,7.0,7.0,7.0,93.0,93.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,motor_vehicle_theft,srs_return_a_annual,20.0,7.0,7.0,7.0,20.0,20.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,murder,srs_return_a_annual,2.0,7.0,7.0,7.0,2.0,2.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,rape,srs_return_a_annual,5.0,7.0,7.0,7.0,5.0,5.0,true_partial,False,True,True
AZ0030000,AZ,COCONINO,sheriff,55166.0,robbery,nibrs_srs_equivalent_annual,0.0,7.0,7.0,7.0,0.0,0.0,true_partial,True,False,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,aggravated_assault,srs_return_a_annual,18.0,9.0,9.0,9.0,18.0,18.0,true_partial,False,True,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,burglary,srs_return_a_annual,13.0,9.0,9.0,9.0,13.0,13.0,true_partial,False,True,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,larceny,srs_return_a_annual,38.0,9.0,9.0,9.0,38.0,38.0,true_partial,False,True,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,motor_vehicle_theft,srs_return_a_annual,12.0,9.0,9.0,9.0,12.0,12.0,true_partial,False,True,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,murder,srs_return_a_annual,8.0,9.0,9.0,9.0,8.0,8.0,true_partial,False,True,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,rape,nibrs_srs_equivalent_annual,0.0,9.0,9.0,9.0,0.0,0.0,true_partial,True,False,True
AZ0120000,AZ,SANTA CRUZ,sheriff,30404.0,robbery,srs_return_a_annual,1.0,9.0,9.0,9.0,1.0,1.0,true_partial,False,True,True
AZ0150000,AZ,LA PAZ,sheriff,14288.0,aggravated_assault,srs_return_a_annual,4.0,3.0,3.0,3.0,4.0,4.0,true_partial,False,True,True
AZ0150000,AZ,LA PAZ,sheriff,14288.0,burglary,srs_return_a_annual,12.0,3.0,3.0,3.0,12.0,12.0,true_partial,False,True,True
AZ0150000,AZ,LA PAZ,sheriff,14288.0,larceny,srs_return_a_annual,23.0,3.0,3.0,3.0,23.0,23.0,true_partial,False,True,True
AZ0150000,AZ,LA PAZ,sheriff,14288.0,motor_vehicle_theft,srs_return_a_annual,10.0,3.0,3.0,3.0,10.0,10.0,true_partial,False,True,True
AZ0150000,AZ,LA PAZ,sheriff,14288.0,murder,nibrs_srs_equivalent_annual,0.0,3.0,3.0,3.0,0.0,0.0,true_partial,True,False,True
