ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,months,preferred_count,implied_full_year_if_annualized,understatement,reporting_regime,preferred_source
OH0420300,OH,DANVILLE,local_police,1013.0,murder,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WIDCI0000,WI,DIVISION OF CRIMINAL INV,unknown,0.0,motor_vehicle_theft,3.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
WIDCI0000,WI,DIVISION OF CRIMINAL INV,unknown,0.0,rape,3.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
WY0230200,WY,UPTON,local_police,1060.0,aggravated_assault,8.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0420300,OH,DANVILLE,local_police,1013.0,burglary,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WIDCI0000,WI,DIVISION OF CRIMINAL INV,unknown,0.0,robbery,3.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
WY0040100,WY,RAWLINS,local_police,8806.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0420300,OH,DANVILLE,local_police,1013.0,aggravated_assault,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WY0040100,WY,RAWLINS,local_police,8806.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0420100,OH,MOUNT VERNON,local_police,16860.0,robbery,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0420100,OH,MOUNT VERNON,local_police,16860.0,murder,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0720200,WI,NEKOOSA,local_police,2434.0,motor_vehicle_theft,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440100,OH,COAL GROVE,local_police,2090.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440100,OH,COAL GROVE,local_police,2090.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440100,OH,COAL GROVE,local_police,2090.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471900,OH,LORAIN COUNTY DRUG TASK,unknown,0.0,aggravated_assault,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471800,OH,LORAIN CO MET PRK DIST,special_jurisdiction,0.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471800,OH,LORAIN CO MET PRK DIST,special_jurisdiction,0.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
