ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,n_ori9,n_ori7,group_total_sum,group_total_max,group_excess_mass,duplicate_class,match_evidence
PA06711,PA0671100,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,3.0,0,SPR GIFFORD PINCHOT,unknown,0.0,133,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,12.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PADAA02,PADAA0200,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,7.0,0,ALLEGHENY CO DIST ATTORN,unknown,,,,,1.0,1.0,overlap,42:statewide_overlap_layer,5.142857142857142,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PAUNI02,PAUNI0200,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,1.0,0,ROBERT MORRIS UNIVERSITY,unknown,,,,,1.0,1.0,overlap,42:statewide_overlap_layer,36.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01113,PA0111300,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,srs_return_a_annual,5.0,0,PATTON,local_police,1695.0,021,58432,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202158432,9.500362847476062,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01910,PA0191000,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,srs_return_a_annual,2.0,0,MIFFLIN TOWNSHIP,local_police,4272.0,037,49256,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4203749256,48.0,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA02350,PA0235000,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,cius_publication_annual,12.0,7,CHEYNEY UNIVERSITY,special_jurisdiction,0.0,045,13416,srs_agency_header,1.0,1.0,overlap,42:statewide_overlap_layer,8.0,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA02512,PA0251200,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,srs_return_a_annual,5.0,0,LAKE CITY,local_police,2906.0,049,40960,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4204940960,19.767658972039797,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA05302,PA0530200,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,cius_publication_annual,12.0,7,GALETON,local_police,1095.0,105,28280,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4210528280,8.0,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA05454,PA0545400,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,srs_return_a_annual,4.0,0,SPR TUSCARORA,unknown,0.0,107,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,24.0,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA06707,PA0670700,PA,42,2024,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0|0|0|0|0|8|0,srs_return_a_annual,7.0,0,SPR CODORUS,unknown,0.0,133,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,13.714285714285714,7,7,56.0,8.0,48.0,T2_different_ori7_identical_signature,identical_7_offense_vector
