ori9,year,offense,count,quarters_reported,months_reported,state_abbr,source,raw_data_source,assumed_months_reported
MS0130100,2024,aggravated_assault,49.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130100,2024,burglary,29.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130100,2024,larceny,146.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130100,2024,motor_vehicle_theft,35.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130100,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130100,2024,rape,12.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130100,2024,robbery,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0140000,2024,aggravated_assault,12.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0140000,2024,burglary,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0140000,2024,larceny,6.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0140000,2024,motor_vehicle_theft,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0140000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,aggravated_assault,88.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,burglary,38.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,larceny,84.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,motor_vehicle_theft,28.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,rape,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150000,2024,robbery,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150300,2024,aggravated_assault,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150300,2024,burglary,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150300,2024,larceny,12.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150300,2024,motor_vehicle_theft,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0150300,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0160100,2024,aggravated_assault,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0160100,2024,burglary,14.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0160100,2024,larceny,32.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0160100,2024,motor_vehicle_theft,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0160100,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0160100,2024,robbery,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,aggravated_assault,146.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,burglary,100.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,larceny,934.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,motor_vehicle_theft,142.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,rape,21.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170100,2024,robbery,18.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170200,2024,aggravated_assault,74.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170200,2024,burglary,38.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170200,2024,larceny,497.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170200,2024,motor_vehicle_theft,127.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170200,2024,rape,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170200,2024,robbery,16.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,aggravated_assault,6.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,burglary,11.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,larceny,75.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,motor_vehicle_theft,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,rape,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170300,2024,robbery,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,aggravated_assault,21.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,burglary,46.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,larceny,289.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,motor_vehicle_theft,38.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,rape,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170400,2024,robbery,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0170600,2024,larceny,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180000,2024,aggravated_assault,16.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180000,2024,burglary,54.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180000,2024,larceny,148.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180000,2024,motor_vehicle_theft,24.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180000,2024,murder,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180000,2024,rape,13.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,aggravated_assault,66.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,burglary,160.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,larceny,1405.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,motor_vehicle_theft,111.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,murder,6.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,rape,23.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180100,2024,robbery,16.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180200,2024,aggravated_assault,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180200,2024,burglary,17.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180200,2024,larceny,24.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180200,2024,motor_vehicle_theft,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180200,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0180200,2024,rape,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,aggravated_assault,58.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,burglary,75.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,larceny,182.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,motor_vehicle_theft,48.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,rape,27.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200000,2024,robbery,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200100,2024,aggravated_assault,15.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200100,2024,burglary,15.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200100,2024,larceny,96.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200100,2024,motor_vehicle_theft,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0200100,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0210000,2024,aggravated_assault,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0210000,2024,burglary,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0210000,2024,larceny,6.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0210000,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0220000,2024,aggravated_assault,14.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0220000,2024,burglary,63.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
