ori9,state_abbr,state_fips,year,total,max_months,min_months,n_usable,n_partial,sources,own_history_median_full_year_total,own_history_full_years,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,population,rate_per_100k,own_history_ratio,pop_band,peer_median_rate_per_100k,peer_rate_ratio,screen_own_history,screen_peer_floor,REVIEW_both,REVIEW_peer_only_no_history
NJ0020100,NJ,34,2024,8.0,12.0,12.0,7,0,cius_publication_annual,38.0,5.0,ALLENDALE,local_police,7003.0,003,00700,srs_agency_header,7003.0,114.23675567613878,0.21052631578947367,"(5000.0, 10000.0]",1096.8692275851467,0.10414801765169487,True,True,True,False
PA0153900,PA,42,2024,6.0,12.0,12.0,7,0,cius_publication_annual,23.5,2.0,WEST VINCENT TOWNSHIP,local_police,6947.0,029,84160,srs_agency_header,6947.0,86.36821649632935,0.2553191489361702,"(5000.0, 10000.0]",1096.8692275851467,0.07874066873630553,True,True,True,False
FL0063000,FL,12,2024,1.0,12.0,12.0,7,0,state_publication_annual,267.0,3.0,PEMBROKE PARK,local_police,6812.0,011,55750,srs_agency_header,6812.0,14.67997651203758,0.003745318352059925,"(5000.0, 10000.0]",1096.8692275851467,0.01338352480209225,True,True,True,False
AL0600000,AL,01,2024,2.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,14.0,3.0,SUMTER,sheriff,6759.0,119,99119,srs_agency_header,6759.0,29.590176061547567,0.14285714285714285,"(5000.0, 10000.0]",593.5221298965575,0.049855219495698856,True,True,True,False
WI0650700,WI,55,2024,16.0,12.0,12.0,7,0,cius_publication_annual,50.0,3.0,BLOOMFIELD,local_police,6677.0,127,08275,srs_agency_header,6677.0,239.62857570765314,0.32,"(5000.0, 10000.0]",1096.8692275851467,0.21846594806494513,True,True,True,False
MI631800X,MI,26,2024,2.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,15.5,6.0,,local_police,6653.0,125,,fbi_cde_agency_roster,6653.0,30.06162633398467,0.12903225806451613,"(5000.0, 10000.0]",1096.8692275851467,0.027406755133579562,True,True,True,False
AL0580800,AL,01,2024,7.0,12.0,12.0,7,0,cius_publication_annual,34.5,4.0,MARGARET,local_police,6641.0,115,46696,srs_agency_header,6641.0,105.40581237765397,0.2028985507246377,"(5000.0, 10000.0]",1096.8692275851467,0.09609697284489789,True,True,True,False
VT0120300,VT,50,2024,6.0,12.0,12.0,7,0,cius_publication_annual,25.0,6.0,NORTHFIELD,local_police,6560.0,023,50275,srs_agency_header,6560.0,91.46341463414635,0.24,"(5000.0, 10000.0]",1096.8692275851467,0.08338588806571867,True,True,True,False
MA0020600,MA,25,2024,12.0,12.0,12.0,7,0,cius_publication_annual,40.5,6.0,DALTON,local_police,6556.0,003,16180,srs_agency_header,6556.0,183.03843807199513,0.2962962962962963,"(5000.0, 10000.0]",1096.8692275851467,0.1668735282828293,True,True,True,False
TX2520000,TX,48,2024,4.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,33.0,4.0,YOUNG,sheriff,6540.0,503,99503,srs_agency_header,6540.0,61.16207951070336,0.12121212121212122,"(5000.0, 10000.0]",593.5221298965575,0.10304936653560506,True,True,True,False
IA0180000,IA,19,2024,5.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,22.5,6.0,CHEROKEE,sheriff,6533.0,035,99035,srs_agency_header,6533.0,76.5345170671973,0.2222222222222222,"(5000.0, 10000.0]",593.5221298965575,0.12894972775578928,True,True,True,False
