ori9,state_abbr,2018,2019,2020,2021,2022,2023,2024,max_months,min_months,n_usable,n_partial,src,baseline_median_2021_2023,ratio_2024_vs_baseline,estimated_2024,fill_sources,agency_name_std,agency_type_norm,population_latest_nibrs,published_as_full_year
AL0260600,AL,83.0,32.0,7.0,42.0,79.0,65.0,16.0,12.0,12.0,7,0,cius_publication_annual,65.0,0.24615384615384617,16.0,observed,MIDLAND CITY,local_police,2396.0,True
TN0540300,TN,68.0,102.0,104.0,112.0,65.0,33.0,21.0,12.0,12.0,7,0,cius_publication_annual,65.0,0.3230769230769231,21.0,observed,ETOWAH,local_police,3720.0,True
NC0950300,NC,53.0,0.0,50.0,45.0,65.0,70.0,0.0,0.0,0.0,0,0,srs_return_a_annual,65.0,0.0,47.83475165225165,hist_median|trend_log_linear,APPALACHIAN STATE UNIVER,special_jurisdiction,0.0,False
MI7486700,MI,75.0,78.0,100.0,101.0,63.0,27.0,0.0,0.0,0.0,0,0,srs_return_a_annual,63.0,0.0,78.55640932066233,hist_median|trend_log_linear,CLAY TOWNSHIP,local_police,8902.0,False
NY360SA00,NY,38.0,43.0,38.0,0.0,62.0,63.0,0.0,0.0,0.0,0,0,srs_return_a_annual,62.0,0.0,71.30569656892776,trend_log_linear,SP WYOMING COUNTY,state_law_enforcement,0.0,False
NC0420100,NC,46.0,88.0,103.0,85.0,62.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,62.0,0.0,75.64043567045053,hist_median,ENFIELD,local_police,2322.0,False
GA0700000,GA,100.0,65.0,64.0,67.0,62.0,26.0,0.0,0.0,0.0,0,0,srs_return_a_annual,62.0,0.0,34.64114840977279,trend_log_linear,HANCOCK,sheriff,7395.0,False
WI0370100,WI,53.0,58.0,53.0,62.0,37.0,91.0,20.0,5.0,5.0,3,4,nibrs_srs_equivalent_annual|srs_return_a_annual,62.0,0.3225806451612903,47.99999999999999,observed|true_partial_month_ratio,ROTHSCHILD,local_police,5522.0,False
AL0230300,AL,14.0,5.0,18.0,63.0,62.0,18.0,7.0,11.0,11.0,7,0,nibrs_srs_equivalent_annual,62.0,0.11290322580645161,7.0,observed,FLORALA,local_police,1939.0,False
MO0430000,MO,92.0,82.0,70.0,72.0,62.0,43.0,15.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,62.0,0.24193548387096775,15.0,observed,HICKORY,sheriff,9579.0,True
MI3832600,MI,91.0,61.0,51.0,66.0,61.0,62.0,10.0,4.0,4.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,62.0,0.16129032258064516,30.0,observed|true_partial_month_ratio,COLUMBIA TOWNSHIP,local_police,7470.0,False
MI0381100,MI,84.0,72.0,50.0,62.0,65.0,36.0,0.0,0.0,0.0,0,0,srs_return_a_annual,62.0,0.0,57.187381612811855,hist_median|trend_log_linear,WAYLAND,local_police,4502.0,False
MN0230000,MN,56.0,68.0,50.0,98.0,61.0,54.0,16.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,61.0,0.26229508196721313,16.0,observed,FILLMORE,sheriff,18048.0,True
IL0561400,IL,114.0,36.0,0.0,63.0,61.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,61.0,0.0,72.23472063730243,hist_median,JOHNSBURG,local_police,6395.0,False
FL0101200,FL,,44.0,30.0,87.0,57.0,60.0,16.0,6.0,6.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,60.0,0.26666666666666666,32.0,observed|true_partial_month_ratio,CLAY COUNTY SCHOOL BOARD,unknown,0.0,False
AL0210100,AL,191.0,119.0,67.0,104.0,47.0,60.0,19.0,11.0,11.0,7,0,nibrs_srs_equivalent_annual,60.0,0.31666666666666665,19.0,observed,EVERGREEN,local_police,3639.0,False
MS0680100,MS,0.0,0.0,36.0,105.0,59.0,4.0,0.0,0.0,0.0,0,0,srs_return_a_annual,59.0,0.0,28.42106523519625,hist_median|trend_log_linear,CHARLESTON,local_police,1928.0,False
KS0870500,KS,89.0,44.0,56.0,59.0,82.0,47.0,9.0,2.0,2.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,59.0,0.15254237288135594,54.0,observed|true_partial_month_ratio,VALLEY CENTER,local_police,7463.0,False
CA0479945,CA,,,,13.0,77.0,59.0,16.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,59.0,0.2711864406779661,16.0,observed,HIGHWAY PATROL YREKA AREA OFFICE,state_law_enforcement,0.0,True
OH0060100,OH,94.0,83.0,91.0,65.0,58.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,58.0,0.0,67.33068950506623,hist_median,ST MARYS,local_police,8425.0,False
NY0322100,NY,16.0,12.0,20.0,69.0,58.0,10.0,14.0,12.0,12.0,7,0,cius_publication_annual,58.0,0.2413793103448276,14.0,observed,BOONVILLE VILLAGE,local_police,2022.0,True
CO0140000,CO,91.0,75.0,90.0,69.0,58.0,48.0,16.0,5.0,5.0,2,5,nibrs_srs_equivalent_annual|srs_return_a_annual,58.0,0.27586206896551724,38.4,observed|true_partial_month_ratio,CUSTER,sheriff,5882.0,False
