"Crimes by Offense and Town"
"Current date: 8/2/2026 12:43:17 AM (Eastern Daylight Time)"
"Data source: Connecticut_SS, Offense Data"
"Jurisdiction by Type: Connecticut"
"Offense Type","Incident Date","Jurisdiction by Geography","Number of Crimes",
"All Offense Types","2021","CSP - West Haven","9"
"All Offense Types","2021","West Haven Police Department","2,536"
"All Offense Types","2021","Weston","45"
"All Offense Types","2021","CSP - Weston",""
"All Offense Types","2021","Weston Police Department","45"
"All Offense Types","2021","Westport","514"
"All Offense Types","2021","CSP - Westport","2"
"All Offense Types","2021","Westport Police Department","512"
"All Offense Types","2021","Wethersfield","867"
"All Offense Types","2021","CSP - Wethersfield","10"
"All Offense Types","2021","Wethersfield Police Department","857"
"All Offense Types","2021","Willington","53"
"All Offense Types","2021","CSP - Willington","53"
"All Offense Types","2021","Wilton","261"
"All Offense Types","2021","CSP - Wilton",""
"All Offense Types","2021","Wilton Police Department","261"
"All Offense Types","2021","Winchester","206"
"All Offense Types","2021","CSP - Winchester","13"
"All Offense Types","2021","Winchester Police Department","193"
"All Offense Types","2021","Willimantic","538"
"All Offense Types","2021","CSP - Windham","84"
"All Offense Types","2021","Eastern Connecticut State University","34"
"All Offense Types","2021","Willimantic Police Department","420"
"All Offense Types","2021","Windsor","1,073"
"All Offense Types","2021","CSP - Windsor","14"
"All Offense Types","2021","Windsor Police Department","1,059"
"All Offense Types","2021","Windsor Locks","374"
"All Offense Types","2021","CSP - Windsor Locks","51"
"All Offense Types","2021","Windsor Locks Police Department","323"
"All Offense Types","2021","Wolcott","444"
"All Offense Types","2021","CSP - Wolcott","1"
"All Offense Types","2021","Wolcott Police Department","443"
"All Offense Types","2021","Woodbridge","160"
"All Offense Types","2021","CSP - Woodbridge",""
"All Offense Types","2021","Woodbridge Police Department","160"
"All Offense Types","2021","Woodbury","46"
"All Offense Types","2021","CSP - Woodbury","46"
"All Offense Types","2021","Woodstock","43"
"All Offense Types","2021","CSP - Woodstock","43"
"All Offense Types","2021","Statewide Organizations","128"
"All Offense Types","2021","Connecticut State Police",""
"All Offense Types","2021","CSP - Other",""
"All Offense Types","2021","Department of Motor Vehicles",""
"All Offense Types","2021","Metropolitan Transportation Authority","68"
"All Offense Types","2021","State Environmental Conservation Police (ENCON-DEEP)","60"
"All Offense Types","2022","Andover","23"
"All Offense Types","2022","CSP - Andover","23"
"All Offense Types","2022","Ansonia","874"
"All Offense Types","2022","Ansonia Police Department","872"
"All Offense Types","2022","CSP - Ansonia","2"
"All Offense Types","2022","Ashford","42"
"All Offense Types","2022","CSP - Ashford","42"
"All Offense Types","2022","Avon","326"
"All Offense Types","2022","Avon Police Department","326"
"All Offense Types","2022","CSP - Avon",""
"All Offense Types","2022","Barkhamsted","22"
"All Offense Types","2022","CSP - Barkhamstead","22"
"All Offense Types","2022","Beacon Falls","33"
"All Offense Types","2022","CSP - Beacon Falls","33"
"All Offense Types","2022","Berlin","725"
"All Offense Types","2022","Berlin Police Department","725"
"All Offense Types","2022","CSP - Berlin",""
"All Offense Types","2022","Bethany","36"
"All Offense Types","2022","CSP - Bethany","36"
"All Offense Types","2022","Bethel","241"
"All Offense Types","2022","Bethel Police Department","241"
"All Offense Types","2022","CSP - Bethel",""
"All Offense Types","2022","Bethlehem","25"
"All Offense Types","2022","CSP - Bethlehem","25"
"All Offense Types","2022","Bloomfield","1,114"
