priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
364,missing_in_repo_master,CA,06,CA0299923,Highway Patrol: Donner Pass Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
365,present_but_no_2024_observation,CA,06,CA0309600,Irvine Valley College,University or College,False,False,,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
366,missing_in_repo_master,CA,06,CA0309990,Highway Patrol: Capistrano Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
367,present_but_no_2024_observation,CA,06,CA0311300,California Department of Forestry and Fire Protection: Nevada-Yuba-Placer,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
368,missing_in_repo_master,CA,06,CA0319921,Highway Patrol: Gold Run Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
369,present_but_no_2024_observation,CA,06,CA033300X,Lake Elsinore Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
370,present_but_no_2024_observation,CA,06,CA033310X,La Quinta Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
371,present_but_no_2024_observation,CA,06,CA033320X,Moreno Valley Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
372,present_but_no_2024_observation,CA,06,CA033380X,Temecula Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
373,present_but_no_2024_observation,CA,06,CA033400X,Calimesa Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
374,present_but_no_2024_observation,CA,06,CA033410X,Canyon Lake Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
375,present_but_no_2024_observation,CA,06,CA0334800,California Department of Forestry and Fire Protection: Riverside,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
